nodeCount,objVal,objBound,MIPGap,Presolve,VarBranch,NodeMethod,Cuts,MIPSepCuts,ZeroHalfCuts
3092,-97204.0,-97034.00000000007,0.0017488992222534797,-1,-1,-1,-1,-1,-1
5315,-97315.0,-97034.00000000006,0.0028875301854795437,0,-1,-1,-1,-1,-1
5508,-97363.0,-97034.00000000012,0.0033791070529860787,-1,-1,-1,0,0,2
3092,-97204.0,-97034.00000000007,0.0017488992222534797,-1,0,-1,-1,-1,-1
5183,-97200.0,-97034.00000000074,0.001707818930033517,-1,1,-1,-1,-1,-1
5484,-97188.0,-97034.00000000004,0.001584557764332596,-1,2,-1,-1,-1,-1
346,-97240.0,-97034.00000000004,0.00211846976552814,-1,3,-1,-1,-1,-1
1328,-97167.0,-97034.00000000009,0.0013687774655995624,-1,-1,0,-1,-1,-1
3092,-97204.0,-97034.00000000007,0.0017488992222534797,-1,-1,1,-1,-1,-1
419,-97149.0,-97034.00000000006,0.0011837486747155585,-1,-1,2,-1,-1,-1
5482,-97317.0,-97034.00000000009,0.0029080222366073007,-1,-1,-1,0,2,0
