nodeCount,objVal,objBound,MIPGap,Presolve,VarBranch,NodeMethod,Cuts,MIPSepCuts,ZeroHalfCuts
2264,-100218.0,-100144.0,0.000738390309126105,-1,-1,-1,-1,-1,-1
4023,-100217.0,-100145.0,0.0007184409830667452,0,-1,-1,-1,-1,-1
10668,-100175.0,-100130.0,0.0004492138757174944,-1,-1,-1,0,0,2
2266,-100218.0,-100144.0,0.000738390309126105,-1,0,-1,-1,-1,-1
2419,-100208.0,-100146.0,0.0006187130768002555,-1,1,-1,-1,-1,-1
4128,-100178.0,-100145.0,0.00032941364371418875,-1,2,-1,-1,-1,-1
116,-100229.0,-100141.0,0.0008779894042642349,-1,3,-1,-1,-1,-1
751,-100198.0,-100142.0,0.0005588933910856504,-1,-1,0,-1,-1,-1
2266,-100218.0,-100144.0,0.000738390309126105,-1,-1,1,-1,-1,-1
3,-100218.0,-100141.0,0.0007683250513879742,-1,-1,2,-1,-1,-1
13928,-100196.0,-100108.0,0.0008782785739949699,-1,-1,-1,0,2,0
