nodeCount,objVal,objBound,MIPGap,Presolve,VarBranch,NodeMethod,Cuts,MIPSepCuts,ZeroHalfCuts
11616,-54689.0,-54551.00000000004,0.00252335935928548,-1,-1,-1,-1,-1,-1
10298,-54683.0,-54551.00000000012,0.002413912916260695,0,-1,-1,-1,-1,-1
15128,-54706.0,-54551.00000000003,0.0028333272401559408,-1,-1,-1,0,0,2
11878,-54687.0,-54551.00000000004,0.002486879880043952,-1,0,-1,-1,-1,-1
17976,-54711.0,-54551.00000000003,0.0029244576045031325,-1,1,-1,-1,-1,-1
20926,-54653.0,-54551.000000000044,0.0018663202385954356,-1,2,-1,-1,-1,-1
1334,-54695.0,-54551.00000000003,0.002632781789925421,-1,3,-1,-1,-1,-1
5392,-54686.0,-54551.00000000189,0.0024686391397818136,-1,-1,0,-1,-1,-1
11833,-54687.0,-54551.00000000004,0.002486879880043952,-1,-1,1,-1,-1,-1
1165,-54701.0,-54551.00000000018,0.002742180216080476,-1,-1,2,-1,-1,-1
16463,-54663.0,-54551.00000000003,0.0020489179152254886,-1,-1,-1,0,2,0
