nodeCount,objVal,objBound,MIPGap,Presolve,VarBranch,NodeMethod,Cuts,MIPSepCuts,ZeroHalfCuts
4982,-97861.0,-97822.0,0.0003985244377228927,-1,-1,-1,-1,-1,-1
5363,-97886.0,-97822.0,0.0006538217926976279,0,-1,-1,-1,-1,-1
6333,-97856.0,-97822.0,0.0003474493132766514,-1,-1,-1,0,0,2
5633,-97861.0,-97822.0,0.0003985244377228927,-1,0,-1,-1,-1,-1
14809,-97853.0,-97822.0,0.00031680173321206297,-1,1,-1,-1,-1,-1
11803,-97850.0,-97822.0,0.000286152273888605,-1,2,-1,-1,-1,-1
495,-97864.0,-97822.0,0.0004291670072754026,-1,3,-1,-1,-1,-1
4014,-97862.0,-97822.0,0.00040873883632053297,-1,-1,0,-1,-1,-1
5763,-97861.0,-97822.0,0.0003985244377228927,-1,-1,1,-1,-1,-1
480,-97871.0,-97822.0,0.0005006590307649866,-1,-1,2,-1,-1,-1
7621,-97856.0,-97822.0,0.0003474493132766514,-1,-1,-1,0,2,0
